Source,Type,Target,Weight
scapin,Undirected,marthe,1
scapin,Undirected,madame-bertrand,2
scapin,Undirected,leandre,3
scapin,Undirected,isabelle,1
scapin,Undirected,bertrand,4
scapin,Undirected,valentin,3
marthe,Undirected,bertrand,1
marthe,Undirected,madame-bertrand,1
marthe,Undirected,leandre,1
marthe,Undirected,le-notaire,1
madame-bertrand,Undirected,leandre,3
madame-bertrand,Undirected,isabelle,1
madame-bertrand,Undirected,bertrand,3
madame-bertrand,Undirected,le-notaire,1
madame-bertrand,Undirected,valentin,1
leandre,Undirected,isabelle,1
leandre,Undirected,bertrand,3
leandre,Undirected,le-notaire,1
leandre,Undirected,valentin,1
bertrand,Undirected,le-notaire,1
bertrand,Undirected,valentin,5
