Source,Type,Target,Weight
tronchet,Undirected,lamoignon,1
tronchet,Undirected,deseze,1
lamoignon,Undirected,deseze,2
lamoignon,Undirected,louis-xvi,2
lamoignon,Undirected,premier-commissaire,1
deseze,Undirected,louis-xvi,2
deseze,Undirected,premier-commissaire,1
garran-de-coulon,Undirected,barrere,2
garran-de-coulon,Undirected,robespierre,1
garran-de-coulon,Undirected,philippe-d-orleans,1
garran-de-coulon,Undirected,lequinio,1
garran-de-coulon,Undirected,kersaint,1
garran-de-coulon,Undirected,charles-vilette,1
barrere,Undirected,robespierre,1
barrere,Undirected,philippe-d-orleans,1
barrere,Undirected,lequinio,1
barrere,Undirected,kersaint,1
barrere,Undirected,charles-vilette,1
robespierre,Undirected,philippe-d-orleans,3
robespierre,Undirected,lequinio,1
robespierre,Undirected,kersaint,1
robespierre,Undirected,marat,1
robespierre,Undirected,manuel,1
philippe-d-orleans,Undirected,lequinio,1
philippe-d-orleans,Undirected,kersaint,1
philippe-d-orleans,Undirected,marat,1
philippe-d-orleans,Undirected,manuel,1
lequinio,Undirected,kersaint,1
premier-commissaire,Undirected,deuxieme-commissaire,3
premier-commissaire,Undirected,louis-xvi,2
deuxieme-commissaire,Undirected,louis-xvi,1
louis-xvi,Undirected,le-dauphin,2
louis-xvi,Undirected,le-ministre,1
louis-xvi,Undirected,marie-antoinette,2
louis-xvi,Undirected,elisabeth,2
louis-xvi,Undirected,le-confesseur,1
louis-xvi,Undirected,la-princesse,1
louis-xvi,Undirected,santerre,1
le-dauphin,Undirected,marie-antoinette,1
le-dauphin,Undirected,le-confesseur,1
le-dauphin,Undirected,la-princesse,1
le-dauphin,Undirected,santerre,1
le-dauphin,Undirected,elisabeth,1
marie-antoinette,Undirected,elisabeth,2
marie-antoinette,Undirected,le-confesseur,1
marie-antoinette,Undirected,la-princesse,1
marie-antoinette,Undirected,santerre,1
elisabeth,Undirected,le-confesseur,1
elisabeth,Undirected,la-princesse,1
elisabeth,Undirected,santerre,1
le-confesseur,Undirected,la-princesse,1
le-confesseur,Undirected,santerre,1
la-princesse,Undirected,santerre,1
