Source,Type,Target,Weight
marc-antoine,Undirected,don-alfonce,9
marc-antoine,Undirected,don-japhet,3
marc-antoine,Undirected,torribo-poncil,1
marc-antoine,Undirected,llorente-riberos,1
marc-antoine,Undirected,foucaral,3
marc-antoine,Undirected,leonore,2
marc-antoine,Undirected,jean-vincent,1
marc-antoine,Undirected,le-bailli,1
marc-antoine,Undirected,rodrigue,1
marc-antoine,Undirected,marine,2
don-alfonce,Undirected,don-japhet,6
don-alfonce,Undirected,torribo-poncil,1
don-alfonce,Undirected,llorente-riberos,1
don-alfonce,Undirected,foucaral,7
don-alfonce,Undirected,leonore,6
don-alfonce,Undirected,le-bailli,2
don-alfonce,Undirected,marine,4
don-alfonce,Undirected,jean-vincent,2
don-alfonce,Undirected,rodrigue,3
don-alfonce,Undirected,le-commandeur,3
don-alfonce,Undirected,don-alvare,2
don-alfonce,Undirected,le-harangueur,1
don-alfonce,Undirected,tous,1
don-alfonce,Undirected,elvire,2
don-japhet,Undirected,le-bailli,3
don-japhet,Undirected,foucaral,10
don-japhet,Undirected,torribo-poncil,1
don-japhet,Undirected,llorente-riberos,1
don-japhet,Undirected,leonore,4
don-japhet,Undirected,marine,3
don-japhet,Undirected,jean-vincent,1
don-japhet,Undirected,rodrigue,4
don-japhet,Undirected,le-commandeur,4
don-japhet,Undirected,don-alvare,4
don-japhet,Undirected,le-harangueur,1
don-japhet,Undirected,tous,1
don-japhet,Undirected,la-duegne,1
don-japhet,Undirected,le-courier,1
le-bailli,Undirected,foucaral,3
le-bailli,Undirected,leonore,2
le-bailli,Undirected,marine,2
le-bailli,Undirected,jean-vincent,1
le-bailli,Undirected,rodrigue,1
foucaral,Undirected,torribo-poncil,1
foucaral,Undirected,llorente-riberos,1
foucaral,Undirected,leonore,6
foucaral,Undirected,marine,3
foucaral,Undirected,jean-vincent,1
foucaral,Undirected,rodrigue,3
foucaral,Undirected,le-commandeur,5
foucaral,Undirected,don-alvare,4
foucaral,Undirected,le-harangueur,1
foucaral,Undirected,tous,1
foucaral,Undirected,elvire,1
foucaral,Undirected,le-courier,1
torribo-poncil,Undirected,llorente-riberos,1
leonore,Undirected,marine,5
leonore,Undirected,jean-vincent,2
leonore,Undirected,rodrigue,3
leonore,Undirected,le-commandeur,3
leonore,Undirected,don-alvare,3
leonore,Undirected,le-harangueur,1
leonore,Undirected,tous,1
leonore,Undirected,elvire,1
marine,Undirected,jean-vincent,1
marine,Undirected,rodrigue,2
marine,Undirected,le-commandeur,1
marine,Undirected,don-alvare,1
marine,Undirected,le-harangueur,1
marine,Undirected,tous,1
jean-vincent,Undirected,rodrigue,2
rodrigue,Undirected,le-commandeur,3
rodrigue,Undirected,don-alvare,3
rodrigue,Undirected,le-harangueur,1
rodrigue,Undirected,tous,1
le-commandeur,Undirected,don-alvare,6
le-commandeur,Undirected,le-harangueur,1
le-commandeur,Undirected,tous,1
le-commandeur,Undirected,elvire,2
le-commandeur,Undirected,le-courier,1
don-alvare,Undirected,le-harangueur,2
don-alvare,Undirected,tous,1
don-alvare,Undirected,elvire,3
le-harangueur,Undirected,tous,1
le-harangueur,Undirected,elvire,1
