Source,Type,Target,Weight
sulpice,Undirected,alcandre,7
sulpice,Undirected,filipin,6
sulpice,Undirected,licaste,3
sulpice,Undirected,le-roi,5
sulpice,Undirected,constance,3
sulpice,Undirected,isabelle,6
sulpice,Undirected,sabine,2
sulpice,Undirected,helene,1
sulpice,Undirected,le-prince,2
sulpice,Undirected,mauricette,2
alcandre,Undirected,constance,9
alcandre,Undirected,helene,2
alcandre,Undirected,filipin,5
alcandre,Undirected,mauricette,3
alcandre,Undirected,licaste,1
alcandre,Undirected,isabelle,6
alcandre,Undirected,le-roi,3
alcandre,Undirected,sabine,1
alcandre,Undirected,le-prince,2
premier-paysan,Undirected,filipin,1
premier-paysan,Undirected,mauricette,1
filipin,Undirected,mauricette,4
filipin,Undirected,helene,1
filipin,Undirected,constance,2
filipin,Undirected,licaste,3
filipin,Undirected,soldat,1
filipin,Undirected,le-roi,4
filipin,Undirected,isabelle,5
filipin,Undirected,sabine,1
filipin,Undirected,le-prince,2
mauricette,Undirected,helene,1
mauricette,Undirected,constance,2
mauricette,Undirected,paysan,1
mauricette,Undirected,le-prince,2
mauricette,Undirected,isabelle,2
mauricette,Undirected,le-roi,2
constance,Undirected,helene,3
constance,Undirected,licaste,1
constance,Undirected,le-roi,4
constance,Undirected,isabelle,4
constance,Undirected,le-prince,1
helene,Undirected,licaste,1
licaste,Undirected,premier-soldat,1
licaste,Undirected,second-soldat,1
licaste,Undirected,soldat,2
licaste,Undirected,le-roi,4
licaste,Undirected,isabelle,2
premier-soldat,Undirected,second-soldat,1
premier-soldat,Undirected,soldat,1
second-soldat,Undirected,soldat,1
le-roi,Undirected,isabelle,6
le-roi,Undirected,sabine,2
le-roi,Undirected,le-prince,3
isabelle,Undirected,sabine,4
isabelle,Undirected,le-prince,3
