Source,Type,Target,Weight
lelio,Undirected,tous,2
lelio,Undirected,carle,3
lelio,Undirected,arlequin,9
lelio,Undirected,ali,2
lelio,Undirected,taher,5
lelio,Undirected,isabelle,4
lelio,Undirected,les-esclaves,1
tous,Undirected,carle,1
tous,Undirected,arlequin,1
tous,Undirected,ali,1
carle,Undirected,les-esclaves,1
carle,Undirected,taher,1
carle,Undirected,arlequin,2
carle,Undirected,isabelle,1
arlequin,Undirected,ali,2
arlequin,Undirected,taher,3
arlequin,Undirected,isabelle,3
arlequin,Undirected,les-esclaves,1
taher,Undirected,isabelle,3
taher,Undirected,les-esclaves,1
