Source,Type,Target,Weight
rosandre,Undirected,luciane,4
rosandre,Undirected,oronte,4
rosandre,Undirected,almedor,8
rosandre,Undirected,belise,2
rosandre,Undirected,philante,2
rosandre,Undirected,braside,2
rosandre,Undirected,clorian,2
rosandre,Undirected,doriste,1
luciane,Undirected,oronte,4
luciane,Undirected,belise,5
luciane,Undirected,almedor,3
luciane,Undirected,doriste,2
luciane,Undirected,philante,1
luciane,Undirected,clorian,1
luciane,Undirected,braside,1
oronte,Undirected,belise,2
oronte,Undirected,almedor,3
oronte,Undirected,braside,4
oronte,Undirected,clorian,3
oronte,Undirected,philante,3
oronte,Undirected,doriste,1
almedor,Undirected,doriste,2
almedor,Undirected,belise,3
almedor,Undirected,philante,2
almedor,Undirected,braside,2
almedor,Undirected,clorian,2
philante,Undirected,belise,3
philante,Undirected,clorian,7
philante,Undirected,braside,4
philante,Undirected,doriste,1
belise,Undirected,clorian,3
belise,Undirected,doriste,4
belise,Undirected,braside,1
clorian,Undirected,braside,4
clorian,Undirected,doriste,1
doriste,Undirected,braside,1
