Source,Type,Target,Weight
faussette,Undirected,thyrcee,2
faussette,Undirected,choeurs,1
faussette,Undirected,bridon,1
thyrcee,Undirected,choeurs,2
thyrcee,Undirected,bridon,3
thyrcee,Undirected,fiston,2
thyrcee,Undirected,le-paysan,1
choeurs,Undirected,fiston,3
choeurs,Undirected,bridon,1
choeurs,Undirected,enfants-de-choeur,1
choeurs,Undirected,bebee,1
choeurs,Undirected,les-choeurs,1
choeurs,Undirected,alix,1
bridon,Undirected,fiston,4
bridon,Undirected,le-paysan,1
bridon,Undirected,bebee,3
bridon,Undirected,tous,1
bridon,Undirected,les-choeurs,1
bridon,Undirected,alix,1
fiston,Undirected,le-paysan,1
fiston,Undirected,bebee,5
fiston,Undirected,tous,1
fiston,Undirected,les-choeurs,2
fiston,Undirected,enfants-de-choeur,1
fiston,Undirected,alix,1
bebee,Undirected,tous,1
bebee,Undirected,les-choeurs,2
bebee,Undirected,alix,4
bebee,Undirected,enfants-de-choeur,1
tous,Undirected,les-choeurs,1
les-choeurs,Undirected,enfants-de-choeur,1
