Source,Type,Target,Weight
patrice,Undirected,emilie,2
patrice,Undirected,sainte-cecile,2
patrice,Undirected,valerian,2
patrice,Undirected,le-choeur,1
emilie,Undirected,sainte-cecile,2
emilie,Undirected,valerian,2
emilie,Undirected,le-choeur,1
sainte-cecile,Undirected,valerian,5
sainte-cecile,Undirected,le-choeur,4
sainte-cecile,Undirected,l-ange,2
sainte-cecile,Undirected,tiburce,2
sainte-cecile,Undirected,almachie,2
sainte-cecile,Undirected,moustarot,2
valerian,Undirected,le-choeur,4
valerian,Undirected,l-ange,2
valerian,Undirected,tiburce,2
valerian,Undirected,almachie,1
valerian,Undirected,moustarot,1
le-choeur,Undirected,l-ange,2
le-choeur,Undirected,tiburce,2
le-choeur,Undirected,almachie,1
le-choeur,Undirected,moustarot,1
l-ange,Undirected,tiburce,2
l-ange,Undirected,almachie,1
l-ange,Undirected,moustarot,1
tiburce,Undirected,almachie,1
tiburce,Undirected,moustarot,1
almachie,Undirected,moustarot,2
