Source,Type,Target,Weight
la-sultane,Undirected,fatime,3
la-sultane,Undirected,leontine,2
la-sultane,Undirected,osman,4
la-sultane,Undirected,mamud,1
la-sultane,Undirected,la-fille-du-mufti,1
la-sultane,Undirected,selim,1
la-sultane,Undirected,lodia,1
fatime,Undirected,leontine,2
fatime,Undirected,osman,2
fatime,Undirected,mamud,2
fatime,Undirected,la-fille-du-mufti,3
fatime,Undirected,selim,1
leontine,Undirected,mamud,1
leontine,Undirected,osman,1
leontine,Undirected,la-fille-du-mufti,1
leontine,Undirected,selim,1
osman,Undirected,mamud,2
osman,Undirected,la-fille-du-mufti,2
osman,Undirected,selim,2
osman,Undirected,lodia,3
osman,Undirected,orcane,1
osman,Undirected,capigi,1
mamud,Undirected,la-fille-du-mufti,2
mamud,Undirected,selim,4
mamud,Undirected,orcane,3
mamud,Undirected,capigi,2
mamud,Undirected,lodia,1
la-fille-du-mufti,Undirected,selim,2
la-fille-du-mufti,Undirected,musulman,1
selim,Undirected,orcane,3
selim,Undirected,capigi,2
selim,Undirected,lodia,1
orcane,Undirected,capigi,2
orcane,Undirected,lodia,1
lodia,Undirected,capigi,1
