Source,Type,Target,Weight
pasiphae,Undirected,bersynthe,1
pasiphae,Undirected,minos,1
bersynthe,Undirected,minos,1
minos,Undirected,silure,1
minos,Undirected,l-oracle,1
minos,Undirected,ambassadeurs,1
minos,Undirected,phedre,1
minos,Undirected,ariane,1
minos,Undirected,thesee,1
minos,Undirected,la-troupe,1
minos,Undirected,dedale,1
minos,Undirected,nocher,1
silure,Undirected,l-oracle,1
silure,Undirected,ambassadeurs,1
l-oracle,Undirected,ambassadeurs,1
ambassadeurs,Undirected,egee,1
ambassadeurs,Undirected,conseiller,1
ambassadeurs,Undirected,nautonier,1
ambassadeurs,Undirected,thesee,1
ambassadeurs,Undirected,une-fille,1
ambassadeurs,Undirected,une-autre-fille,1
ambassadeurs,Undirected,la-troupe,1
ambassadeurs,Undirected,le-pilote,1
ambassadeurs,Undirected,le-nautonier,1
egee,Undirected,conseiller,1
egee,Undirected,nautonier,1
egee,Undirected,thesee,1
egee,Undirected,une-fille,1
egee,Undirected,une-autre-fille,1
egee,Undirected,la-troupe,1
egee,Undirected,le-pilote,1
egee,Undirected,le-nautonier,1
conseiller,Undirected,nautonier,1
conseiller,Undirected,thesee,1
conseiller,Undirected,une-fille,1
conseiller,Undirected,une-autre-fille,1
conseiller,Undirected,la-troupe,1
conseiller,Undirected,le-pilote,1
conseiller,Undirected,le-nautonier,1
nautonier,Undirected,thesee,1
nautonier,Undirected,une-fille,1
nautonier,Undirected,une-autre-fille,1
nautonier,Undirected,la-troupe,1
nautonier,Undirected,le-pilote,1
nautonier,Undirected,le-nautonier,1
thesee,Undirected,une-fille,1
thesee,Undirected,une-autre-fille,1
thesee,Undirected,la-troupe,2
thesee,Undirected,le-pilote,1
thesee,Undirected,le-nautonier,1
thesee,Undirected,ariane,2
thesee,Undirected,les-gardes,1
thesee,Undirected,l-un-des-gardes,1
thesee,Undirected,deux-des-gardes,1
thesee,Undirected,premier-garde,1
thesee,Undirected,l-autre-garde,1
thesee,Undirected,le-geolier,1
thesee,Undirected,phedre,1
thesee,Undirected,dedale,1
thesee,Undirected,nocher,1
une-fille,Undirected,une-autre-fille,1
une-fille,Undirected,la-troupe,1
une-fille,Undirected,le-pilote,1
une-fille,Undirected,le-nautonier,1
une-autre-fille,Undirected,la-troupe,1
une-autre-fille,Undirected,le-pilote,1
une-autre-fille,Undirected,le-nautonier,1
la-troupe,Undirected,le-pilote,1
la-troupe,Undirected,le-nautonier,1
la-troupe,Undirected,phedre,1
la-troupe,Undirected,ariane,1
la-troupe,Undirected,dedale,1
la-troupe,Undirected,nocher,1
le-pilote,Undirected,le-nautonier,1
ariane,Undirected,les-gardes,1
ariane,Undirected,l-un-des-gardes,1
ariane,Undirected,deux-des-gardes,1
ariane,Undirected,premier-garde,1
ariane,Undirected,l-autre-garde,1
ariane,Undirected,le-geolier,1
ariane,Undirected,phedre,1
ariane,Undirected,dedale,1
ariane,Undirected,nocher,1
les-gardes,Undirected,l-un-des-gardes,1
les-gardes,Undirected,deux-des-gardes,1
les-gardes,Undirected,premier-garde,1
les-gardes,Undirected,l-autre-garde,1
les-gardes,Undirected,le-geolier,1
l-un-des-gardes,Undirected,deux-des-gardes,1
l-un-des-gardes,Undirected,premier-garde,1
l-un-des-gardes,Undirected,l-autre-garde,1
l-un-des-gardes,Undirected,le-geolier,1
deux-des-gardes,Undirected,premier-garde,1
deux-des-gardes,Undirected,l-autre-garde,1
deux-des-gardes,Undirected,le-geolier,1
premier-garde,Undirected,l-autre-garde,1
premier-garde,Undirected,le-geolier,1
l-autre-garde,Undirected,le-geolier,1
phedre,Undirected,dedale,1
phedre,Undirected,nocher,1
dedale,Undirected,nocher,1
