Source,Type,Target,Weight
nanon,Undirected,gauthier,8
nanon,Undirected,poquelin,8
nanon,Undirected,le-pere-cresse,3
nanon,Undirected,moliere,8
nanon,Undirected,monsieur-jourdain,1
nanon,Undirected,loyal,1
gauthier,Undirected,poquelin,5
gauthier,Undirected,moliere,5
gauthier,Undirected,monsieur-jourdain,2
gauthier,Undirected,loyal,1
gauthier,Undirected,le-pere-cresse,1
poquelin,Undirected,monsieur-jourdain,2
poquelin,Undirected,moliere,2
poquelin,Undirected,le-pere-cresse,2
monsieur-jourdain,Undirected,loyal,1
monsieur-jourdain,Undirected,moliere,1
le-pere-cresse,Undirected,moliere,3
moliere,Undirected,loyal,1
