Source,Type,Target,Weight
zoilin,Undirected,la-fleur,1
zoilin,Undirected,le-laquais,1
zoilin,Undirected,laure,3
zoilin,Undirected,nicodon,3
zoilin,Undirected,hortense,3
zoilin,Undirected,ariston,2
zoilin,Undirected,cleon,1
le-laquais,Undirected,ariston,2
le-laquais,Undirected,clitandre,2
le-laquais,Undirected,nicodon,1
laure,Undirected,nicodon,2
laure,Undirected,hortense,2
laure,Undirected,clitandre,1
laure,Undirected,ariston,1
nicodon,Undirected,hortense,1
nicodon,Undirected,ariston,2
nicodon,Undirected,clitandre,1
hortense,Undirected,ariston,4
hortense,Undirected,cleon,2
ariston,Undirected,clitandre,7
ariston,Undirected,l-exempt,1
ariston,Undirected,cleon,3
clitandre,Undirected,l-exempt,1
clitandre,Undirected,cleon,1
