Source,Type,Target,Weight
l-orateur,Undirected,un-habitant-de-courdimanche,1
l-orateur,Undirected,le-choeur,1
l-orateur,Undirected,un-habitant,1
un-habitant-de-courdimanche,Undirected,le-choeur,1
un-habitant-de-courdimanche,Undirected,un-habitant,1
le-choeur,Undirected,un-habitant,2
le-choeur,Undirected,le-bedeau,1
le-choeur,Undirected,le-cure,1
le-choeur,Undirected,la-marquise-de-prie,1
le-choeur,Undirected,les-habitants-de-bellebat,1
le-choeur,Undirected,le-coryphee,1
le-choeur,Undirected,deux-jeunes-filles,1
le-choeur,Undirected,les-jeunes-filles,1
le-choeur,Undirected,voltaire,1
le-choeur,Undirected,le-coadjuteur,1
un-habitant,Undirected,le-bedeau,1
un-habitant,Undirected,le-cure,1
un-habitant,Undirected,la-marquise-de-prie,1
un-habitant,Undirected,les-habitants-de-bellebat,1
un-habitant,Undirected,le-coryphee,1
un-habitant,Undirected,deux-jeunes-filles,1
un-habitant,Undirected,les-jeunes-filles,1
un-habitant,Undirected,voltaire,1
un-habitant,Undirected,le-coadjuteur,1
le-bedeau,Undirected,le-cure,1
le-bedeau,Undirected,la-marquise-de-prie,1
le-bedeau,Undirected,les-habitants-de-bellebat,1
le-bedeau,Undirected,le-coryphee,1
le-bedeau,Undirected,deux-jeunes-filles,1
le-bedeau,Undirected,les-jeunes-filles,1
le-bedeau,Undirected,voltaire,1
le-bedeau,Undirected,le-coadjuteur,1
le-cure,Undirected,la-marquise-de-prie,1
le-cure,Undirected,les-habitants-de-bellebat,1
le-cure,Undirected,le-coryphee,1
le-cure,Undirected,deux-jeunes-filles,1
le-cure,Undirected,les-jeunes-filles,1
le-cure,Undirected,voltaire,1
le-cure,Undirected,le-coadjuteur,1
la-marquise-de-prie,Undirected,les-habitants-de-bellebat,1
la-marquise-de-prie,Undirected,le-coryphee,1
la-marquise-de-prie,Undirected,deux-jeunes-filles,1
la-marquise-de-prie,Undirected,les-jeunes-filles,1
la-marquise-de-prie,Undirected,voltaire,1
la-marquise-de-prie,Undirected,le-coadjuteur,1
les-habitants-de-bellebat,Undirected,le-coryphee,1
les-habitants-de-bellebat,Undirected,deux-jeunes-filles,1
les-habitants-de-bellebat,Undirected,les-jeunes-filles,1
les-habitants-de-bellebat,Undirected,voltaire,1
les-habitants-de-bellebat,Undirected,le-coadjuteur,1
le-coryphee,Undirected,deux-jeunes-filles,1
le-coryphee,Undirected,les-jeunes-filles,1
le-coryphee,Undirected,voltaire,1
le-coryphee,Undirected,le-coadjuteur,1
deux-jeunes-filles,Undirected,les-jeunes-filles,1
deux-jeunes-filles,Undirected,voltaire,1
deux-jeunes-filles,Undirected,le-coadjuteur,1
les-jeunes-filles,Undirected,voltaire,1
les-jeunes-filles,Undirected,le-coadjuteur,1
voltaire,Undirected,le-coadjuteur,1
