Source,Type,Target,Weight
l-ordonnateur,Undirected,le-maitre-d-hotel,1
l-ordonnateur,Undirected,le-souverain-des-genies,1
le-maitre-d-hotel,Undirected,le-chinois,1
le-maitre-d-hotel,Undirected,le-tartare,1
le-maitre-d-hotel,Undirected,l-espagnol,1
le-maitre-d-hotel,Undirected,l-allemand,1
le-maitre-d-hotel,Undirected,l-italienne,1
le-maitre-d-hotel,Undirected,un-chanteur,1
le-maitre-d-hotel,Undirected,tous-les-personnages-ensemble,1
le-chinois,Undirected,le-tartare,1
le-chinois,Undirected,l-espagnol,1
le-chinois,Undirected,l-allemand,1
le-chinois,Undirected,l-italienne,1
le-chinois,Undirected,un-chanteur,1
le-chinois,Undirected,tous-les-personnages-ensemble,1
le-tartare,Undirected,l-espagnol,1
le-tartare,Undirected,l-allemand,1
le-tartare,Undirected,l-italienne,1
le-tartare,Undirected,un-chanteur,1
le-tartare,Undirected,tous-les-personnages-ensemble,1
l-espagnol,Undirected,l-allemand,1
l-espagnol,Undirected,l-italienne,1
l-espagnol,Undirected,un-chanteur,1
l-espagnol,Undirected,tous-les-personnages-ensemble,1
l-allemand,Undirected,l-italienne,1
l-allemand,Undirected,un-chanteur,1
l-allemand,Undirected,tous-les-personnages-ensemble,1
l-italienne,Undirected,un-chanteur,1
l-italienne,Undirected,tous-les-personnages-ensemble,1
un-chanteur,Undirected,tous-les-personnages-ensemble,1
