Source,Type,Target,Weight
sextus,Undirected,soter,1
sextus,Undirected,caton,3
sextus,Undirected,porcius,2
caton,Undirected,porcius,7
caton,Undirected,demetrius,2
caton,Undirected,varus,3
caton,Undirected,lentulus,2
caton,Undirected,sillanus,1
caton,Undirected,bibulus,1
caton,Undirected,fabius,1
porcius,Undirected,bibulus,1
porcius,Undirected,sillanus,1
porcius,Undirected,demetrius,1
porcius,Undirected,fabius,1
bibulus,Undirected,sillanus,2
bibulus,Undirected,varus,1
bibulus,Undirected,lentulus,1
sillanus,Undirected,varus,1
sillanus,Undirected,lentulus,1
varus,Undirected,lentulus,2
