Source,Type,Target,Weight
la-baronne,Undirected,le-comte,9
la-baronne,Undirected,blaise,3
la-baronne,Undirected,nanine,1
la-baronne,Undirected,germon,1
la-baronne,Undirected,la-marquise,4
la-baronne,Undirected,marin,1
la-baronne,Undirected,le-paysan,1
le-comte,Undirected,blaise,1
le-comte,Undirected,nanine,4
le-comte,Undirected,germon,6
le-comte,Undirected,marin,2
le-comte,Undirected,la-marquise,8
le-comte,Undirected,le-paysan,1
le-comte,Undirected,philippe-hombert,1
blaise,Undirected,nanine,1
nanine,Undirected,germon,2
nanine,Undirected,la-marquise,1
nanine,Undirected,philippe-hombert,1
germon,Undirected,la-marquise,1
marin,Undirected,la-marquise,1
la-marquise,Undirected,le-paysan,1
la-marquise,Undirected,philippe-hombert,1
