Source,Type,Target,Weight
le-chevalier,Undirected,nuit-blanche,2
le-chevalier,Undirected,fanchon,8
le-chevalier,Undirected,le-president,6
le-chevalier,Undirected,la-presidente,5
le-chevalier,Undirected,champagne,1
le-chevalier,Undirected,la-comtesse,5
le-chevalier,Undirected,le-page,1
le-chevalier,Undirected,le-comte,3
le-chevalier,Undirected,monsieur-du-cap-vert,5
le-chevalier,Undirected,madame-du-cap-vert,2
le-chevalier,Undirected,madame-rafle,1
nuit-blanche,Undirected,fanchon,1
fanchon,Undirected,le-president,4
fanchon,Undirected,la-presidente,3
fanchon,Undirected,champagne,1
fanchon,Undirected,la-comtesse,7
fanchon,Undirected,le-comte,5
fanchon,Undirected,monsieur-du-cap-vert,3
fanchon,Undirected,madame-du-cap-vert,1
le-president,Undirected,la-presidente,6
le-president,Undirected,champagne,1
le-president,Undirected,la-comtesse,4
le-president,Undirected,le-page,1
le-president,Undirected,le-comte,4
le-president,Undirected,monsieur-du-cap-vert,4
le-president,Undirected,madame-du-cap-vert,2
le-president,Undirected,madame-rafle,1
la-presidente,Undirected,champagne,1
la-presidente,Undirected,la-comtesse,4
la-presidente,Undirected,le-page,1
la-presidente,Undirected,le-comte,3
la-presidente,Undirected,monsieur-du-cap-vert,3
la-presidente,Undirected,madame-du-cap-vert,1
la-presidente,Undirected,madame-rafle,1
champagne,Undirected,la-comtesse,1
la-comtesse,Undirected,le-comte,6
la-comtesse,Undirected,le-page,2
la-comtesse,Undirected,monsieur-de-l-etrier,1
la-comtesse,Undirected,madame-du-cap-vert,1
la-comtesse,Undirected,monsieur-du-cap-vert,1
la-comtesse,Undirected,madame-rafle,1
le-comte,Undirected,le-page,3
le-comte,Undirected,monsieur-de-l-etrier,6
le-comte,Undirected,monsieur-du-cap-vert,4
le-comte,Undirected,madame-du-cap-vert,3
le-comte,Undirected,madame-rafle,1
le-page,Undirected,monsieur-de-l-etrier,2
le-page,Undirected,monsieur-du-cap-vert,1
monsieur-de-l-etrier,Undirected,monsieur-du-cap-vert,1
monsieur-de-l-etrier,Undirected,madame-du-cap-vert,1
monsieur-du-cap-vert,Undirected,madame-du-cap-vert,2
monsieur-du-cap-vert,Undirected,madame-rafle,1
madame-du-cap-vert,Undirected,madame-rafle,1
