Source,Type,Target,Weight
promethee,Undirected,encelade-typhon,1
promethee,Undirected,typhon,1
promethee,Undirected,encelade,2
promethee,Undirected,deux-titans,1
promethee,Undirected,choeur-des-dieux-infernaux,1
promethee,Undirected,nemesis,2
promethee,Undirected,les-trois-parques,1
promethee,Undirected,choeur-des-nymphes,3
promethee,Undirected,dryade,1
promethee,Undirected,choeur,2
promethee,Undirected,pandore,3
promethee,Undirected,nymphes,1
promethee,Undirected,titans,1
promethee,Undirected,pandore-promethee,1
promethee,Undirected,mercure,1
promethee,Undirected,choeur-de-titans,1
promethee,Undirected,choeurs-des-nymphes,1
promethee,Undirected,les-titans,1
promethee,Undirected,les-dieux,1
promethee,Undirected,dieux-titans,1
promethee,Undirected,le-destin,1
promethee,Undirected,jupiter,1
promethee,Undirected,une-nymphe,1
promethee,Undirected,une-autre-nymphe,1
promethee,Undirected,le-choeur,1
promethee,Undirected,furies-et-demons,1
promethee,Undirected,l-amour,1
encelade-typhon,Undirected,typhon,1
encelade-typhon,Undirected,encelade,1
encelade-typhon,Undirected,deux-titans,1
encelade-typhon,Undirected,choeur-des-dieux-infernaux,1
encelade-typhon,Undirected,nemesis,1
encelade-typhon,Undirected,les-trois-parques,1
encelade-typhon,Undirected,choeur-des-nymphes,1
typhon,Undirected,encelade,1
typhon,Undirected,deux-titans,1
typhon,Undirected,choeur-des-dieux-infernaux,1
typhon,Undirected,nemesis,1
typhon,Undirected,les-trois-parques,1
typhon,Undirected,choeur-des-nymphes,1
encelade,Undirected,deux-titans,1
encelade,Undirected,choeur-des-dieux-infernaux,1
encelade,Undirected,nemesis,1
encelade,Undirected,les-trois-parques,1
encelade,Undirected,choeur-des-nymphes,1
encelade,Undirected,choeur-de-titans,1
encelade,Undirected,choeurs-des-nymphes,1
encelade,Undirected,les-titans,1
encelade,Undirected,les-dieux,1
encelade,Undirected,pandore,1
encelade,Undirected,dieux-titans,1
encelade,Undirected,le-destin,1
encelade,Undirected,choeur,1
encelade,Undirected,jupiter,1
deux-titans,Undirected,choeur-des-dieux-infernaux,1
deux-titans,Undirected,nemesis,1
deux-titans,Undirected,les-trois-parques,1
deux-titans,Undirected,choeur-des-nymphes,1
choeur-des-dieux-infernaux,Undirected,nemesis,1
choeur-des-dieux-infernaux,Undirected,les-trois-parques,1
choeur-des-dieux-infernaux,Undirected,choeur-des-nymphes,1
nemesis,Undirected,les-trois-parques,1
nemesis,Undirected,choeur-des-nymphes,2
nemesis,Undirected,pandore,1
nemesis,Undirected,une-nymphe,1
nemesis,Undirected,une-autre-nymphe,1
nemesis,Undirected,le-choeur,1
nemesis,Undirected,furies-et-demons,1
nemesis,Undirected,l-amour,1
les-trois-parques,Undirected,choeur-des-nymphes,1
choeur-des-nymphes,Undirected,dryade,1
choeur-des-nymphes,Undirected,choeur,1
choeur-des-nymphes,Undirected,pandore,2
choeur-des-nymphes,Undirected,nymphes,1
choeur-des-nymphes,Undirected,titans,1
choeur-des-nymphes,Undirected,pandore-promethee,1
choeur-des-nymphes,Undirected,mercure,1
choeur-des-nymphes,Undirected,une-nymphe,1
choeur-des-nymphes,Undirected,une-autre-nymphe,1
choeur-des-nymphes,Undirected,le-choeur,1
choeur-des-nymphes,Undirected,furies-et-demons,1
choeur-des-nymphes,Undirected,l-amour,1
dryade,Undirected,choeur,1
dryade,Undirected,pandore,1
dryade,Undirected,nymphes,1
dryade,Undirected,titans,1
dryade,Undirected,pandore-promethee,1
dryade,Undirected,mercure,1
choeur,Undirected,pandore,3
choeur,Undirected,nymphes,1
choeur,Undirected,titans,1
choeur,Undirected,pandore-promethee,1
choeur,Undirected,mercure,2
choeur,Undirected,jupiter,2
choeur,Undirected,choeur-des-dieux,1
choeur,Undirected,neptune,1
choeur,Undirected,pluton,1
choeur,Undirected,les-trois-graces,1
choeur,Undirected,une-voix,1
choeur,Undirected,choeur-de-titans,1
choeur,Undirected,choeurs-des-nymphes,1
choeur,Undirected,les-titans,1
choeur,Undirected,les-dieux,1
choeur,Undirected,dieux-titans,1
choeur,Undirected,le-destin,1
pandore,Undirected,nymphes,1
pandore,Undirected,titans,1
pandore,Undirected,pandore-promethee,1
pandore,Undirected,mercure,2
pandore,Undirected,jupiter,2
pandore,Undirected,choeur-des-dieux,1
pandore,Undirected,neptune,1
pandore,Undirected,pluton,1
pandore,Undirected,les-trois-graces,1
pandore,Undirected,une-voix,1
pandore,Undirected,choeur-de-titans,1
pandore,Undirected,choeurs-des-nymphes,1
pandore,Undirected,les-titans,1
pandore,Undirected,les-dieux,1
pandore,Undirected,dieux-titans,1
pandore,Undirected,le-destin,1
pandore,Undirected,une-nymphe,1
pandore,Undirected,une-autre-nymphe,1
pandore,Undirected,le-choeur,1
pandore,Undirected,furies-et-demons,1
pandore,Undirected,l-amour,1
nymphes,Undirected,titans,1
nymphes,Undirected,pandore-promethee,1
nymphes,Undirected,mercure,1
titans,Undirected,pandore-promethee,1
titans,Undirected,mercure,1
pandore-promethee,Undirected,mercure,1
mercure,Undirected,jupiter,1
mercure,Undirected,choeur-des-dieux,1
mercure,Undirected,neptune,1
mercure,Undirected,pluton,1
mercure,Undirected,les-trois-graces,1
mercure,Undirected,une-voix,1
jupiter,Undirected,choeur-des-dieux,1
jupiter,Undirected,neptune,1
