Source,Type,Target,Weight
catilina,Undirected,cethegus,11
catilina,Undirected,aurelie,6
catilina,Undirected,martian,3
catilina,Undirected,ciceron,5
catilina,Undirected,sura,7
catilina,Undirected,cesar,2
catilina,Undirected,lentulus,1
catilina,Undirected,statilius,1
catilina,Undirected,autre-conjure,1
catilina,Undirected,caton,2
catilina,Undirected,clodius,1
catilina,Undirected,chef,1
catilina,Undirected,licteurs,1
cethegus,Undirected,sura,6
cethegus,Undirected,martian,1
cethegus,Undirected,aurelie,3
cethegus,Undirected,ciceron,4
cethegus,Undirected,caton,3
cethegus,Undirected,cesar,2
cethegus,Undirected,clodius,1
cethegus,Undirected,chef,1
cethegus,Undirected,licteurs,1
aurelie,Undirected,martian,1
aurelie,Undirected,sura,2
aurelie,Undirected,ciceron,2
aurelie,Undirected,chef,1
aurelie,Undirected,licteurs,1
aurelie,Undirected,caton,1
martian,Undirected,lentulus,1
martian,Undirected,statilius,1
martian,Undirected,autre-conjure,1
ciceron,Undirected,caton,7
ciceron,Undirected,sura,2
ciceron,Undirected,lucullus,1
ciceron,Undirected,cesar,3
ciceron,Undirected,clodius,2
ciceron,Undirected,chef,2
ciceron,Undirected,licteurs,2
ciceron,Undirected,crassus,1
ciceron,Undirected,chef-licteurs,1
caton,Undirected,cesar,4
caton,Undirected,lucullus,1
caton,Undirected,clodius,3
caton,Undirected,chef,2
caton,Undirected,licteurs,2
caton,Undirected,sura,1
caton,Undirected,crassus,1
caton,Undirected,chef-licteurs,1
sura,Undirected,chef,1
sura,Undirected,licteurs,1
cesar,Undirected,clodius,2
cesar,Undirected,chef,1
cesar,Undirected,licteurs,1
cesar,Undirected,chef-licteurs,1
lentulus,Undirected,statilius,1
lentulus,Undirected,autre-conjure,1
statilius,Undirected,autre-conjure,1
clodius,Undirected,chef-licteurs,1
chef,Undirected,licteurs,2
