Source,Type,Target,Weight
la-volupte,Undirected,le-choeur,1
la-volupte,Undirected,bacchus,1
la-volupte,Undirected,hercule,1
la-volupte,Undirected,ensemble,1
la-volupte,Undirected,un-amour,1
la-volupte,Undirected,la-vertu,1
la-volupte,Undirected,choeur-des-suivants-de-la-vertu,1
le-choeur,Undirected,bacchus,1
le-choeur,Undirected,hercule,1
le-choeur,Undirected,ensemble,1
le-choeur,Undirected,un-amour,1
le-choeur,Undirected,la-vertu,1
le-choeur,Undirected,choeur-des-suivants-de-la-vertu,1
le-choeur,Undirected,deux-coryphees,2
le-choeur,Undirected,un-coryphee,2
le-choeur,Undirected,second-coryphee,1
le-choeur,Undirected,le-grand-pretre,3
le-choeur,Undirected,samson,7
le-choeur,Undirected,choeur-des-filles-israelites,1
le-choeur,Undirected,choeur-des-philistins,1
le-choeur,Undirected,le-roi,3
le-choeur,Undirected,les-hebreux,1
le-choeur,Undirected,dalila,3
le-choeur,Undirected,oracle,1
le-choeur,Undirected,choeur-des-filles,1
le-choeur,Undirected,choeur-des-pretresse-de-venus,1
le-choeur,Undirected,filles-de-gaza,1
le-choeur,Undirected,une-pretresse,1
le-choeur,Undirected,choeur-de-philistins,1
bacchus,Undirected,hercule,1
bacchus,Undirected,ensemble,1
bacchus,Undirected,un-amour,1
bacchus,Undirected,la-vertu,1
bacchus,Undirected,choeur-des-suivants-de-la-vertu,1
hercule,Undirected,ensemble,1
hercule,Undirected,un-amour,1
hercule,Undirected,la-vertu,1
hercule,Undirected,choeur-des-suivants-de-la-vertu,1
ensemble,Undirected,un-amour,1
ensemble,Undirected,la-vertu,1
ensemble,Undirected,choeur-des-suivants-de-la-vertu,1
un-amour,Undirected,la-vertu,1
un-amour,Undirected,choeur-des-suivants-de-la-vertu,1
la-vertu,Undirected,choeur-des-suivants-de-la-vertu,1
deux-coryphees,Undirected,un-coryphee,2
deux-coryphees,Undirected,samson,1
un-coryphee,Undirected,samson,1
second-coryphee,Undirected,le-grand-pretre,1
le-grand-pretre,Undirected,samson,1
le-grand-pretre,Undirected,le-roi,1
le-grand-pretre,Undirected,dalila,2
le-grand-pretre,Undirected,oracle,1
le-grand-pretre,Undirected,choeur-des-filles,1
samson,Undirected,choeur-des-filles-israelites,1
samson,Undirected,choeur-des-philistins,2
samson,Undirected,le-roi,3
samson,Undirected,les-hebreux,2
samson,Undirected,choeur-des-pretresse-de-venus,1
samson,Undirected,filles-de-gaza,1
samson,Undirected,dalila,5
samson,Undirected,choeur-des-filles-de-gaza,1
samson,Undirected,deux-hebreux,1
samson,Undirected,guerriers,1
samson,Undirected,une-pretresse,2
samson,Undirected,le-grand-pretre-des-philistins,1
samson,Undirected,les-philistins,1
samson,Undirected,choeur-d-israelites,1
samson,Undirected,choeur-de-philistins,2
le-roi,Undirected,un-philistin,1
le-roi,Undirected,choeur-des-philistins,3
le-roi,Undirected,dalila,1
le-roi,Undirected,oracle,1
le-roi,Undirected,choeur-des-filles,1
le-roi,Undirected,choeur-d-israelites,1
le-roi,Undirected,choeur-de-philistins,2
le-roi,Undirected,une-pretresse,1
un-philistin,Undirected,choeur-des-philistins,1
choeur-des-philistins,Undirected,choeur-d-israelites,1
choeur-des-philistins,Undirected,choeur-de-philistins,1
les-hebreux,Undirected,choeur-des-filles-de-gaza,1
les-hebreux,Undirected,dalila,1
les-hebreux,Undirected,deux-hebreux,1
dalila,Undirected,oracle,1
dalila,Undirected,choeur-des-filles,1
dalila,Undirected,choeur-des-pretresse-de-venus,1
dalila,Undirected,filles-de-gaza,1
dalila,Undirected,choeur-des-filles-de-gaza,1
dalila,Undirected,deux-hebreux,1
dalila,Undirected,guerriers,1
dalila,Undirected,une-pretresse,1
dalila,Undirected,le-grand-pretre-des-philistins,1
dalila,Undirected,les-philistins,1
oracle,Undirected,choeur-des-filles,1
choeur-des-pretresse-de-venus,Undirected,filles-de-gaza,1
choeur-des-filles-de-gaza,Undirected,deux-hebreux,1
guerriers,Undirected,une-pretresse,1
une-pretresse,Undirected,choeur-de-philistins,1
le-grand-pretre-des-philistins,Undirected,les-philistins,1
choeur-d-israelites,Undirected,choeur-de-philistins,1
