Source,Type,Target,Weight
hermodan,Undirected,indatire,5
hermodan,Undirected,sozame,12
hermodan,Undirected,le-scythe,5
hermodan,Undirected,obeide,5
hermodan,Undirected,sulma,2
hermodan,Undirected,athamare,3
hermodan,Undirected,un-scythe,1
indatire,Undirected,sozame,4
indatire,Undirected,le-scythe,1
indatire,Undirected,obeide,2
indatire,Undirected,sulma,2
indatire,Undirected,athamare,1
sozame,Undirected,le-scythe,5
sozame,Undirected,obeide,7
sozame,Undirected,sulma,2
sozame,Undirected,athamare,3
sozame,Undirected,un-scythe,1
le-scythe,Undirected,obeide,3
le-scythe,Undirected,un-scythe,1
le-scythe,Undirected,sulma,1
le-scythe,Undirected,athamare,1
sulma,Undirected,obeide,6
sulma,Undirected,un-scythe,1
sulma,Undirected,athamare,1
obeide,Undirected,athamare,2
obeide,Undirected,un-scythe,1
athamare,Undirected,hircan,3
athamare,Undirected,un-scythe,1
